feature,importance
ma_20,0.58429044
bb_high,0.16716446
ma_50,0.11543865
Close,0.06714414
High,0.019849258
Low,0.014800272
ma_5,0.012641143
lag_1,0.01143624
bb_low,0.0023976222
lag_2,0.0009934419
ma_10,0.0007368566
Open,0.0006159535
lag_3,0.0005601267
ema_12,0.00045835637
lag_10,0.00043561836
lag_5,0.0004338102
ma_200,0.00028549708
ema_26,8.9722e-05
bb_mid,2.7958195e-05
volume_ma_20,1.32224795e-05
close_open_diff,1.24429525e-05
bb_width,1.20654395e-05
volatility_10,1.0342981e-05
volatility_5,9.904952e-06
macd_signal,9.312043e-06
momentum_20,8.929916e-06
price_to_ma_10,8.889066e-06
macd_diff,8.326629e-06
price_to_ma_5,8.128045e-06
high_low_range,8.110832e-06
pct_change_1,7.250148e-06
volatility_20,6.9134467e-06
macd,6.766817e-06
price_to_ma_200,6.567014e-06
momentum_10,6.4074106e-06
pct_change_10,6.330548e-06
rsi_14,6.0373036e-06
pct_change_3,5.935749e-06
volume_change,5.724462e-06
momentum_5,5.4152842e-06
bb_position,5.2028845e-06
price_to_ma_50,4.6959785e-06
volume_ratio,4.611739e-06
price_to_ma_20,4.5899096e-06
Volume,4.339945e-06
pct_change_5,4.029129e-06
