feature,importance
High,0.2244864
Close,0.19222929
Low,0.19081748
Open,0.09323613
lag_5,0.07098628
ma_10,0.06125118
ma_20,0.053295586
ema_26,0.047021925
lag_1,0.01855547
ma_5,0.018058738
bb_low,0.01092763
bb_high,0.0063609844
ema_12,0.0028667348
lag_2,0.0027175737
ma_200,0.001699632
lag_3,0.0015085457
lag_10,0.00030967672
rsi_14,0.00029434988
ma_50,0.00025377664
price_to_ma_20,0.00017817847
close_open_diff,0.00017382816
price_to_ma_200,0.00016755318
pct_change_1,0.00016707688
bb_position,0.00016594173
volume_change,0.00015122286
pct_change_5,0.00014915458
macd,0.00014351036
price_to_ma_50,0.00013615437
bb_width,0.00012765455
pct_change_3,0.00012569036
momentum_10,0.00011499429
momentum_20,0.00011422852
volume_ratio,0.00011199695
macd_diff,0.00011137978
momentum_5,0.00010907377
macd_signal,0.000108270986
price_to_ma_10,0.00010281785
volume_ma_20,0.000100840385
price_to_ma_5,9.2720846e-05
volatility_5,9.251026e-05
volatility_20,8.836698e-05
high_low_range,7.711549e-05
volatility_10,7.625268e-05
Volume,7.2779345e-05
pct_change_10,6.3269836e-05
bb_mid,0.0
