feature,importance
Low,0.24943452
lag_2,0.20529069
Close,0.19359386
ma_200,0.1838391
High,0.09446667
ma_5,0.02114597
Open,0.012897201
lag_1,0.011753214
bb_low,0.009385926
ema_12,0.0037261765
ma_10,0.0036856288
ma_50,0.002663345
ma_20,0.0017521651
ema_26,0.0012623417
bb_high,0.0012036235
lag_3,0.0005266404
lag_5,0.0004733583
bb_mid,0.0004479618
volume_ma_20,0.00014063645
pct_change_1,0.00012566059
price_to_ma_5,0.00012468536
close_open_diff,0.000108901826
price_to_ma_200,0.00010814659
volume_change,0.000104152066
volatility_20,0.00010386906
lag_10,9.878415e-05
volatility_5,9.570979e-05
rsi_14,9.40444e-05
momentum_5,8.889354e-05
macd_signal,8.72028e-05
momentum_10,8.289392e-05
price_to_ma_10,8.197311e-05
price_to_ma_50,8.106005e-05
bb_width,7.963192e-05
high_low_range,7.765555e-05
macd,7.740487e-05
price_to_ma_20,7.69138e-05
momentum_20,7.355297e-05
volume_ratio,7.327814e-05
macd_diff,7.02327e-05
pct_change_10,6.994047e-05
Volume,6.939381e-05
bb_position,6.877625e-05
volatility_10,6.817264e-05
pct_change_5,6.146934e-05
pct_change_3,5.8604663e-05
