feature,importance
ma_20,0.2189783
ma_5,0.13068506
High,0.1290888
Close,0.118669726
Low,0.11793268
ma_10,0.083469376
lag_5,0.04837819
lag_3,0.043683186
lag_10,0.040920362
Open,0.031549048
bb_high,0.008789829
lag_1,0.007483012
ma_200,0.0066662235
lag_2,0.0059465393
ma_50,0.005030313
bb_low,0.0014774123
ema_12,0.0005507905
ema_26,6.725177e-05
pct_change_1,3.97005e-05
price_to_ma_50,3.5461297e-05
momentum_5,3.1487678e-05
volatility_10,2.9198009e-05
rsi_14,2.8244436e-05
momentum_10,2.8100585e-05
price_to_ma_10,2.7947968e-05
macd_diff,2.5791705e-05
price_to_ma_5,2.5119118e-05
macd_signal,2.5013409e-05
bb_width,2.496759e-05
volume_ratio,2.4685745e-05
volatility_5,2.4378094e-05
pct_change_5,2.3335468e-05
price_to_ma_200,2.2747874e-05
volatility_20,2.260249e-05
volume_ma_20,2.2151899e-05
close_open_diff,2.1453998e-05
Volume,1.951477e-05
bb_position,1.9283254e-05
price_to_ma_20,1.835956e-05
momentum_20,1.7749706e-05
macd,1.7392264e-05
volume_change,1.7112341e-05
high_low_range,1.5659729e-05
pct_change_10,1.3251621e-05
pct_change_3,1.31163215e-05
bb_mid,0.0
