feature,importance
Low,0.49958467
High,0.18799293
Close,0.13629243
ma_20,0.052930422
ma_10,0.030449027
lag_1,0.025876217
Open,0.017330077
bb_high,0.01080421
ma_5,0.0083628055
lag_10,0.007285318
lag_2,0.0069021904
ma_50,0.0049077733
lag_3,0.0019017396
ema_12,0.0016427946
lag_5,0.0011758133
bb_low,0.00087297574
price_to_ma_50,0.000600411
ma_200,0.00045907722
price_to_ma_10,0.0003629903
momentum_10,0.00035249704
rsi_14,0.00033941536
ema_26,0.000269079
price_to_ma_20,0.00023651567
momentum_5,0.00021751769
volume_ma_20,0.00021424232
price_to_ma_200,0.00021288863
bb_position,0.00021084204
price_to_ma_5,0.00020474903
pct_change_1,0.00020277221
close_open_diff,0.00016606084
pct_change_5,0.00014405341
Volume,0.00013479393
bb_width,0.00013037607
momentum_20,0.0001297497
volatility_5,0.00012273285
volatility_10,0.00011033451
bb_mid,0.000105395535
macd_signal,0.00010030065
macd_diff,9.728219e-05
volume_change,9.545159e-05
high_low_range,9.360982e-05
volatility_20,9.27643e-05
pct_change_10,7.704081e-05
volume_ratio,7.154027e-05
macd,7.091797e-05
pct_change_3,6.3169784e-05
