,actual,predicted,actual_return,predicted_change,position,strategy_return,position_change,transaction_costs,strategy_return_net,cumulative_market,cumulative_strategy
2015-10-09,25.055084228515625,25.078936,,0.0009519582706560861,0,,,,,1.0,1.0
2015-10-12,25.097740173339844,25.077963,0.0017024865865615801,-0.0007880111052644219,0,0.0,0.0,0.0,0.0,1.0017024865865616,1.0
2015-10-13,24.74302101135254,24.849228,-0.014133510010758132,0.004292398000719832,0,-0.0,0.0,0.0,-0.0,0.9875449144645891,1.0
2015-10-14,25.11345100402832,25.060028,0.014971089928987213,-0.0021272635070296,0,0.0,0.0,0.0,0.0,1.0023295381879525,1.0
2015-10-15,24.92935943603516,24.95119,-0.007330397083365026,0.0008757349946028325,0,-0.0,0.0,0.0,-0.0,0.9949820646646489,1.0
2015-10-16,25.084272384643555,25.07682,0.006214076579299066,-0.00029707902203137115,0,0.0,0.0,0.0,0.0,1.001164959409504,1.0
2015-10-19,25.54227066040039,25.501492,0.018258383928138944,-0.0015965344002384794,0,0.0,0.0,0.0,0.0,1.0194446136138025,1.0
2015-10-20,25.54002571105957,25.536674,-8.789153363331081e-05,-0.00013121410235700706,0,-0.0,0.0,0.0,-0.0,1.0193550130632578,1.0
2015-10-21,25.930662155151367,25.947914,0.015295068552833913,0.0006653115250418624,0,0.0,0.0,0.0,0.0,1.0349461178677353,1.0
2015-10-22,26.734399795532227,26.641947,0.03099564660446541,-0.0034582037987304273,0,0.0,0.0,0.0,0.0,1.067024941991827,1.0
2015-10-23,25.881267547607425,25.941895,-0.03191140457424346,0.002342504420660772,0,-0.0,0.0,0.0,-0.0,1.0329746773771171,1.0
2015-10-26,25.717382431030277,25.776958,-0.006332190503254509,0.0023165668086815544,0,-0.0,0.0,0.0,-0.0,1.0264336849349274,1.0
2015-10-27,26.777055740356445,26.668278,0.04120455540792434,-0.0040623584957470635,0,0.0,0.0,0.0,0.0,1.0687274285783885,1.0
2015-10-28,27.0599365234375,27.024866,0.01056429750245913,-0.001296027404984775,0,0.0,0.0,0.0,0.0,1.0800177830829287,1.0
2015-10-29,26.828697204589844,26.859222,-0.008545449419194773,0.00113778195365778,0,-0.0,0.0,0.0,-0.0,1.0707885457457627,1.0
2015-10-30,27.20587158203125,27.186981,0.014058616956505787,-0.000694349409186052,0,0.0,0.0,0.0,0.0,1.0858423517518163,1.0
2015-11-02,27.5179386138916,27.496765,0.011470576523137765,-0.0007694427068080881,0,0.0,0.0,0.0,0.0,1.0982975895396494,1.0
2015-11-03,27.389965057373047,27.365831,-0.004650550257930708,-0.0008811140211542573,0,-0.0,0.0,0.0,-0.0,1.093189901401331,1.0
