,actual,predicted,actual_return,predicted_change,position,strategy_return,position_change,transaction_costs,strategy_return_net,cumulative_market,cumulative_strategy
2015-10-09,27.50950050354004,28.326803,,0.02970983438075322,1,,,,,1.0,1.0
2015-10-12,27.44499969482422,28.341175,-0.002344673932102803,0.03265350316948598,1,-0.002344673932102803,0.0,0.0,-0.002344673932102803,0.9976553260678972,0.9976553260678972
2015-10-13,27.241500854492188,28.341753,-0.007414787487514896,0.0403888228246361,1,-0.007414787487514896,0.0,0.0,-0.007414787487514896,0.9902579238393163,0.9902579238393163
2015-10-14,28.121999740600582,28.308695,0.032321966796598156,0.006638756155289316,0,0.032321966796598156,1.0,0.0005,0.031821966796598156,1.022265007573719,1.0217698786117992
2015-10-15,28.538000106811523,29.119543,0.014792702156608994,0.02037784590978384,1,0.0,1.0,0.0005,-0.0005,1.0373870693558807,1.0212589936724934
2015-10-16,28.65749931335449,29.122986,0.00418737143793213,0.016243096489313814,1,0.00418737143793213,0.0,0.0,0.00418737143793213,1.0417309943401816,1.0255353844133288
2015-10-19,28.04400062561035,29.072859,-0.021407963096704785,0.036687282907663286,1,-0.021407963096704785,0.0,0.0,-0.021407963096704785,1.0194296556566533,1.0035807607494434
2015-10-20,27.78849983215332,28.605263,-0.00911071130214225,0.02939212009024257,1,-0.00911071130214225,0.0,0.0,-0.00911071130214225,1.0101419263711233,0.9944374261698709
2015-10-21,28.195499420166016,28.580376,0.014646331772892873,0.013650272530566759,1,0.014646331772892873,0.0,0.0,0.014646331772892873,1.024936800162464,1.0090022866409365
2015-10-22,29.951499938964844,29.054195,0.062279461435710504,-0.029958584269256506,0,0.062279461435710504,1.0,0.0005,0.0617794614357105,1.0887693120822226,1.071337904497014
2015-10-23,30.430500030517575,30.23657,0.01599252433196452,-0.006372871692766231,0,0.0,0.0,0.0,0.0,1.106181481797594,1.071337904497014
2015-10-26,30.550500869750977,31.021715,0.003943439612003052,0.01542411027703176,1,0.0,1.0,0.0005,-0.0005,1.1105436416709789,1.0708022355447655
2015-10-27,30.854999542236328,31.026932,0.009967059911179632,0.005572264560355361,0,0.009967059911179632,1.0,0.0005,0.009467059911179632,1.121612496681493,1.080939584461693
2015-10-28,31.32749938964844,31.12354,0.015313558723775822,-0.006510526385005268,0,0.0,0.0,0.0,0.0,1.1387883755147459,1.080939584461693
2015-10-29,31.295000076293945,31.059727,-0.0010374052825050661,-0.00751792173294401,0,-0.0,0.0,0.0,-0.0,1.1376069904383315,1.080939584461693
2015-10-30,31.417499542236328,31.914953,0.003914346242011257,0.015833649934694518,1,0.0,1.0,0.0005,-0.0005,1.1420599780862395,1.080399114669462
2015-11-02,31.265499114990234,31.659437,-0.004838081625234136,0.012599768937842475,1,-0.004838081625234136,0.0,0.0,-0.004838081625234136,1.136534598691345,1.0751720555648605
2015-11-03,32.04750061035156,31.57919,0.025011642785078614,-0.014613036926292634,0,0.025011642785078614,1.0,0.0005,0.024511642785078613,1.1649611960866957,1.101526288923365
2015-11-04,32.782501220703125,32.474945,0.022934724903762138,-0.00938171710185186,0,0.0,0.0,0.0,0.0,1.1916792606425017,1.101526288923365
2015-11-05,32.96849822998047,33.363693,0.005673667424738182,0.011987049108741064,1,0.0,1.0,0.0005,-0.0005,1.1984404524443453,1.1009755257789033
2015-11-06,32.77450180053711,33.336277,-0.005884296824504642,0.017140617756402476,1,-0.005884296824504642,0.0,0.0,-0.005884296824504642,1.1913884730956692,1.0944970589887053
2015-11-09,32.98400115966797,32.97926,0.006392144735131389,-0.00014375662546877035,0,0.006392144735131389,1.0,0.0005,0.005892144735131388,1.199004000651464,1.1009459940724424
2015-11-10,33.662498474121094,33.346188,0.02057049753208151,-0.009396536113073468,0,0.0,0.0,0.0,0.0,1.2236681094878208,1.1009459940724424
2015-11-11,33.279998779296875,33.425816,-0.0113627838741166,0.00438151467328859,0,-0.0,0.0,0.0,-0.0,1.2097638332260618,1.1009459940724424
2015-11-12,32.11750030517578,33.729046,-0.03493084485460596,0.0501765563145161,1,-0.0,1.0,0.0005,-0.0005,1.1675057604569288,1.1003955210754062
2015-11-13,32.390499114990234,32.51608,0.008500001781597488,0.003877057699498585,0,0.008500001781597488,1.0,0.0005,0.008000001781597488,1.177429561500838,1.1091986872044715
2015-11-16,32.165000915527344,32.34738,-0.006961862448069844,0.005670159212757514,0,-0.0,0.0,0.0,-0.0,1.169232458851378,1.1091986872044715
2015-11-17,33.176998138427734,32.742043,0.03146268285700127,-0.013110155268087216,0,0.0,0.0,0.0,0.0,1.2060196488903308,1.1091986872044715
2015-11-18,33.063499450683594,33.260242,-0.0034210053384148287,0.00595045941123276,0,-0.0,0.0,0.0,-0.0,1.2018938492332438,1.1091986872044715
2015-11-19,33.42250061035156,33.363705,0.010857929911606723,-0.0017591720512039708,0,0.0,0.0,0.0,0.0,1.2149439284094097,1.1091986872044715
2015-11-20,33.949501037597656,33.72806,0.01576783357385514,-0.006522610194683885,0,0.0,0.0,0.0,0.0,1.234100962074135,1.1091986872044715
2015-11-23,33.557498931884766,33.725765,-0.01154662347699209,0.005014268099308199,0,-0.0,0.0,0.0,-0.0,1.2198512629324714,1.1091986872044715
2015-11-24,33.766998291015625,33.67932,0.006242996820356117,-0.002596529344938937,0,0.0,0.0,0.0,0.0,1.2274667904882661,1.1091986872044715
2015-11-25,33.71499824523926,33.75192,-0.0015399664882325137,0.0010950778409298879,0,-0.0,0.0,0.0,-0.0,1.225576532765496,1.1091986872044715
2015-11-26,33.66299819946289,33.73721,-0.0015423416426756376,0.0022045309263823334,0,-0.0,0.0,0.0,-0.0,1.2236862750427258,1.1091986872044715
2015-11-27,33.2400016784668,33.73956,-0.012565622304041901,0.015028804750055287,1,-0.0,1.0,0.0005,-0.0005,1.208309895491899,1.1086440878608692
2015-11-30,33.952999114990234,33.6549,0.021449981965113052,-0.008779769846330153,0,0.021449981965113052,1.0,0.0005,0.02094998196511305,1.2342281209584678,1.1318701615072837
2015-12-01,33.800498962402344,33.755695,-0.00449150757114003,-0.0013255313016119227,0,-0.0,0.0,0.0,-0.0,1.2286845760086689,1.1318701615072837
2015-12-02,33.3125,33.692497,-0.014437625993189207,0.011407047006918386,1,-0.0,1.0,0.0005,-0.0005,1.2109452876366555,1.13130422642653
2015-12-03,33.63199996948242,33.698784,0.009590993455382169,0.001985725056193399,0,0.009590993455382169,1.0,0.0005,0.009090993455382168,1.2225594559652047,1.14158890574502
2015-12-04,33.49150085449219,33.743465,-0.004177542671197743,0.007523239110318971,0,-0.0,0.0,0.0,-0.0,1.2174521616698337,1.14158890574502
2015-12-07,33.86650085449219,33.6849,0.01119687056215346,-0.005362304148503588,0,0.0,0.0,0.0,0.0,1.2310838159396649,1.14158890574502
2015-12-08,33.239498138427734,33.774414,-0.018513950371146337,0.01609277979602997,1,-0.0,1.0,0.0005,-0.0005,1.2082915912686365,1.1410181112921476
2015-12-09,33.11600112915039,33.590664,-0.0037153692502526203,0.014333336289927119,1,-0.0037153692502526203,0.0,0.0,-0.0037153692502526203,1.2038023418450983,1.1367788076874714
2015-12-10,32.00749969482422,33.30231,-0.03347328773190594,0.04045337065140001,1,-0.03347328773190594,0.0,0.0,-0.03347328773190594,1.163507119684175,1.0987270835702156
2015-12-11,32.89550018310547,32.51175,0.027743513137480136,-0.011665757121529688,0,0.027743513137480136,1.0,0.0005,0.027243513137480135,1.1957868947446846,1.1286602693059662
2015-12-14,32.93199920654297,32.95362,0.001109544564889875,0.0006565560738039455,0,0.0,0.0,0.0,0.0,1.1971136735945151,1.1286602693059662
2015-12-15,33.78850173950195,33.377167,0.02600821552275545,-0.01217381565558406,0,0.0,0.0,0.0,0.0,1.2282484640225988,1.1286602693059662
2015-12-16,33.532501220703125,33.710133,-0.007576557278937912,0.005297289844401994,0,-0.0,0.0,0.0,-0.0,1.218942569182164,1.1286602693059662
2015-12-17,33.207000732421875,33.694786,-0.009707014879053677,0.01468923204736212,1,-0.0,1.0,0.0005,-0.0005,1.207110275526401,1.1280959391713132
2015-12-18,33.22549819946289,33.284603,0.0005570351622559144,0.001778902428453254,0,0.0005570351622559144,1.0,0.0005,5.703516225591442e-05,1.2077826783945895,1.1281602803062443
2015-12-21,33.157501220703125,33.365818,-0.0020465299978816853,0.006282644810654346,0,-0.0,0.0,0.0,-0.0,1.205310914912333,1.1281602803062443
2015-12-22,33.185001373291016,33.374123,0.0008293795242544366,0.005698997695088392,0,0.0,0.0,0.0,0.0,1.2063105751055219,1.1281602803062443
2015-12-23,33.13949966430664,33.4199,-0.0013711528431936681,0.008461181531107231,0,-0.0,0.0,0.0,-0.0,1.2046565389306914,1.1281602803062443
2015-12-24,33.44974899291992,33.472935,0.009361919514658146,0.0006931510901733916,0,0.0,0.0,0.0,0.0,1.2159344364909672,1.1281602803062443
2015-12-25,33.7599983215332,33.827217,0.009275086897631013,0.001991077720957819,0,0.0,0.0,0.0,0.0,1.2272123340512429,1.1281602803062443
2015-12-28,34.69850158691406,33.80817,0.027799268721593773,-0.025659069631015993,0,0.0,0.0,0.0,0.0,1.2613279395039876,1.1281602803062443
2015-12-29,34.45349884033203,34.30678,-0.00706090278764171,-0.00425840847726771,0,-0.0,0.0,0.0,-0.0,1.2524218255398134,1.1281602803062443
