,actual,predicted,actual_return,predicted_change,position,strategy_return,position_change,transaction_costs,strategy_return_net,cumulative_market,cumulative_strategy
2015-10-09,14.371999740600586,14.950318,,0.04023925732843517,1,,,,,1.0,1.0
2015-10-12,14.616666793823242,14.6853895,0.017023869860745666,0.004701668710378747,0,0.017023869860745666,1.0,0.0005,0.016523869860745666,1.0170238698607457,1.0165238698607457
2015-10-13,14.458666801452637,14.500614,-0.010809577491181055,0.0029011917477007303,0,-0.0,0.0,0.0,-0.0,1.0060302715291052,1.0165238698607457
2015-10-14,14.753999710083008,14.754912,0.020426012486898237,6.185890868474515e-05,0,0.0,0.0,0.0,0.0,1.0265794584175563,1.0165238698607457
2015-10-15,15.133999824523926,15.130289,0.025755735523108614,-0.0002451927321370541,0,0.0,0.0,0.0,0.0,1.053019767442015,1.0165238698607457
2015-10-16,15.206666946411133,15.291914,0.00480158072748571,0.00560589905041885,0,0.0,0.0,0.0,0.0,1.058075926863026,1.0165238698607457
2015-10-19,14.20199966430664,15.264176,-0.06606755350432658,0.07479064424119566,1,-0.0,1.0,0.0005,-0.0005,0.9881714389533631,1.0160156079258154
2015-10-20,14.005999565124512,14.102535,-0.013800880426347861,0.0068924522115936864,0,-0.013800880426347861,1.0,0.0005,-0.014300880426347862,0.9745338030836357,1.001485690205565
2015-10-21,14.114666938781738,14.212494,0.0077586303749297425,0.006930872554551424,0,0.0,0.0,0.0,0.0,0.9820948506496362,1.001485690205565
2015-10-22,13.939332962036133,14.2402315,-0.01242211222596079,0.021586294893766955,1,-0.0,1.0,0.0005,-0.0005,0.9698951581983282,1.0009849473604624
2015-10-23,14.350666999816896,14.2402315,0.02950887527409196,-0.007695494978822559,0,0.02950887527409196,1.0,0.0005,0.02900887527409196,0.9985156734505484,1.0300223948496856
2015-10-26,14.023332595825195,14.603168,-0.022809699646425985,0.0413478703501574,1,-0.0,1.0,0.0005,-0.0005,0.9757398308468926,1.0295073836522608
2015-10-27,14.197333335876465,14.507724,0.012407945034625278,0.021862589619401056,1,0.012407945034625278,0.0,0.0,0.012407945034625278,0.9878467570361354,1.042281454681359
2015-10-28,14.108667373657228,14.24086,-0.006245254663083677,0.009369602967687471,0,-0.006245254663083677,1.0,0.0005,-0.006745254663083677,0.9816774024703434,1.035251000838924
2015-10-29,13.795332908630373,14.24086,-0.022208650663342766,0.03229549295200172,1,-0.0,1.0,0.0005,-0.0005,0.9598756719747819,1.0347333753385046
2015-10-30,14.252667427062988,14.171337,0.033151394131743395,-0.005706321275904558,0,0.033151394131743395,1.0,0.0005,0.032651394131743394,0.9916968886938898,1.0685188625979514
2015-11-02,13.890000343322754,14.57543,-0.025445558566223325,0.04934698028201158,1,-0.0,1.0,0.0005,-0.0005,0.966462607432688,1.0679846031666524
2015-11-03,15.44200038909912,14.507724,0.11173506172895431,-0.06050230263367131,0,0.11173506172895431,1.0,0.0005,0.11123506172895431,1.0744503665329055,1.186781936425468
2015-11-04,15.451333045959473,15.542911,0.0006043683865557536,0.005926836838920776,0,0.0,0.0,0.0,0.0,1.0750997303673613,1.186781936425468
2015-11-05,15.490667343139648,15.548834,0.0025456895572166793,0.003754938545756726,0,0.0,0.0,0.0,0.0,1.077836600523924,1.186781936425468
2015-11-06,15.022000312805176,15.548834,-0.030254799225420848,0.035070797714711464,1,-0.0,1.0,0.0005,-0.0005,1.0452268705772625,1.1861885454572552
2015-11-09,14.43333339691162,15.102551,-0.03918698599624981,0.04636614737228271,1,-0.03918698599624981,0.0,0.0,-0.03918698599624981,1.0042675798370473,1.1397053915375097
2015-11-10,14.60533332824707,14.821782,0.011916854312549408,0.014819845532446323,1,0.011916854312549408,0.0,0.0,0.011916854312549408,1.016235290276782,1.1532870946476892
2015-11-11,14.196000099182127,14.5952215,-0.028026284636262444,0.028122106050921206,1,-0.028026284636262444,0.0,0.0,-0.028026284636262444,0.9877539907740701,1.120964742265765
2015-11-12,13.812666893005373,14.465939,-0.027002902472425205,0.04729511543065396,1,-0.027002902472425205,0.0,0.0,-0.027002902472425205,0.9610817660944491,1.0906954406553353
2015-11-13,14.28733253479004,14.199075,0.0343645181239427,-0.006177345518969904,0,0.0343645181239427,1.0,0.0005,0.0338645181239427,0.9941088778639926,1.1276313161731097
2015-11-16,14.266667366027832,14.603168,-0.0014463979691022866,0.023586459206861643,1,-0.0,1.0,0.0005,-0.0005,0.9926710008019836,1.1270675005150232
2015-11-17,14.73799991607666,14.637007,0.033037326654939525,-0.006852568666589491,0,0.033037326654939525,1.0,0.0005,0.032537326654939525,1.0254661969163645,1.1637392639414468
2015-11-18,14.786666870117188,14.848254,0.0033021410176179433,0.004165058577444717,0,0.0,0.0,0.0,0.0,1.0288524309073828,1.1637392639414468
2015-11-19,14.667332649230955,15.102551,-0.008070393546729449,0.029672662469953433,1,-0.0,1.0,0.0005,-0.0005,1.0205491868884509,1.1631573943094762
2015-11-20,14.516667366027832,14.637007,-0.010272166508136227,0.008289739688969046,0,-0.010272166508136227,1.0,0.0005,-0.010772166508136227,1.0100659357109896,1.1506276691828048
2015-11-23,14.550000190734863,14.891305,0.0022961761034103745,0.023457372823271174,1,0.0,1.0,0.0005,-0.0005,1.012385224975438,1.1500523553482134
2015-11-24,15.309332847595217,14.891305,0.052187810783939304,-0.02730542747806823,0,0.052187810783939304,1.0,0.0005,0.0516878107839393,1.0652193935369119,1.2094960438830755
2015-11-25,15.375,15.632225,0.0042893542820252595,0.016730083682672765,1,0.0,1.0,0.0005,-0.0005,1.0697884969038758,1.208891295861134
2015-11-26,15.440667152404783,15.576571,0.00427103430275011,0.008801712438482597,0,0.00427103430275011,1.0,0.0005,0.0037710343027501096,1.0743576002708397,1.2134500664061225
2015-11-27,15.350666999816896,15.576571,-0.005828773569144019,0.014716263776966337,1,-0.0,1.0,0.0005,-0.0005,1.068095413086572,1.2128433413729196
2015-11-30,15.812666893005373,15.548834,0.03009640513952827,-0.01668491771468222,0,0.03009640513952827,1.0,0.0005,0.02959640513952827,1.1002412453664974,1.2487391442749718
2015-12-01,15.465999603271484,15.926694,-0.021923391675773174,0.029787554950658792,1,-0.0,1.0,0.0005,-0.0005,1.0761202256064872,1.2481147747028343
2015-12-02,15.513999938964844,15.576571,0.0031036038358105422,0.004033229716378708,0,0.0031036038358105422,1.0,0.0005,0.002603603835810542,1.0794600764664728,1.2513643711177824
2015-12-03,15.358667373657228,15.576571,-0.010012412396462889,0.01418769516781704,1,-0.0,1.0,0.0005,-0.0005,1.0686520770153731,1.2507386889322236
2015-12-04,15.408666610717772,15.576571,0.003255441103327872,0.010896780238207851,1,0.003255441103327872,0.0,0.0,0.003255441103327872,1.0721310109120457,1.254810395069696
2015-12-07,15.114666938781738,15.576571,-0.019080150110557748,0.030560020120037525,1,-0.019080150110557748,0.0,0.0,-0.019080150110557748,1.05167459028566,1.230868424371478
2015-12-08,14.968000411987305,15.291914,-0.009703589724369799,0.02164040388182645,1,-0.009703589724369799,0.0,0.0,-0.009703589724369799,1.0414695715379831,1.2189245821766956
2015-12-09,15.137999534606934,15.130289,0.011357503870956798,-0.0005093445029191394,0,0.011357503870956798,1.0,0.0005,0.010857503870956797,1.0532980662282094,1.2321590605460835
2015-12-10,14.468000411987305,15.291914,-0.044259422857554354,0.05694730099234068,1,-0.0,1.0,0.0005,-0.0005,1.006679701719971,1.2315429810158105
2015-12-11,14.571999549865724,14.84952,0.007188217785247808,0.01904475626689754,1,0.007188217785247808,0.0,0.0,0.007188217785247808,1.0139159346559223,1.2403955801752455
2015-12-14,14.739333152770996,14.919043,0.011483228662796163,0.012192507805245717,1,0.011483228662796163,0.0,0.0,0.011483228662796163,1.025558963178429,1.2546393262547195
2015-12-15,15.633999824523926,15.130289,0.06069926383234869,-0.032218930051093005,0,0.06069926383234869,1.0,0.0005,0.06019926383234869,1.0878096372600263,1.3301676900703676
2015-12-16,15.559332847595217,15.744474,-0.004775935638145823,0.011899068245984612,1,-0.0,1.0,0.0005,-0.0005,1.0826143284459178,1.3295026062253326
2015-12-17,15.36400032043457,15.576571,-0.012554042584855152,0.013835663868170978,1,-0.012554042584855152,0.0,0.0,-0.012554042584855152,1.0690231420636334,1.3128119738901038
2015-12-18,15.503999710083008,15.548834,0.009112170445755297,0.0028917787539516526,0,0.009112170445755297,1.0,0.0005,0.008612170445755296,1.078764263144574,1.324118134372474
2015-12-21,15.329999923706056,15.548834,-0.011222896648004355,0.014274880915129089,1,-0.0,1.0,0.0005,-0.0005,1.0666574033117417,1.3234560753052877
2015-12-22,15.313332557678224,15.576571,-0.001087238493853948,0.01719017763565513,1,-0.001087238493853948,0.0,0.0,-0.001087238493853948,1.065497692323107,1.322017162915291
2015-12-23,15.371333122253418,15.576571,0.003787586036986479,0.013352019675380541,1,0.003787586036986479,0.0,0.0,0.003787586036986479,1.0695333565049914,1.3270244166622054
2015-12-24,15.317333221435547,15.576571,-0.0035130265142516715,0.016924502415357874,1,-0.0035130265142516715,0.0,0.0,-0.0035130265142516715,1.0657760574657127,1.3223625447014118
2015-12-25,15.263333320617676,15.576571,-0.0035254113778958596,0.020522263213486734,1,-0.0035254113778958596,0.0,0.0,-0.0035254113778958596,1.062018758426434,1.3177006727406182
2015-12-28,15.812666893005373,15.576571,0.035990406607032455,-0.014930778600745322,0,0.035990406607032455,1.0,0.0005,0.035490406607032454,1.1002412453664971,1.364466405402543
2015-12-29,15.87266731262207,15.954432,0.003794452891639599,0.005151259053126294,0,0.0,0.0,0.0,0.0,1.104416058941479,1.364466405402543
2015-12-30,16.000667572021484,15.954432,0.008064193426244648,-0.002889631823165642,0,0.0,0.0,0.0,0.0,1.113322283663834,1.364466405402543
2015-12-31,15.447333812713623,15.954432,-0.03458191708672276,0.0328275239758525,1,-0.0,1.0,0.0005,-0.0005,1.0748214647593703,1.3637841721998418
2016-01-01,14.894000053405762,15.576571,-0.03582066433059472,0.045828616133026745,1,-0.03582066433059472,0.0,0.0,-0.03582066433059472,1.0363206458549068,1.3149325171480932
2016-01-04,14.895333290100098,15.060766,8.951501876963697e-05,0.011106359741720426,1,8.951501876963697e-05,0.0,0.0,8.951501876963697e-05,1.036413412116972,1.3150502233570465
2016-01-05,14.602666854858398,15.060766,-0.019648196488239345,0.03137093859550473,1,-0.019648196488239345,0.0,0.0,-0.019648196488239345,1.016049757752651,1.289211858176624
2016-01-06,14.376667022705078,14.6853895,-0.015476613580219345,0.021473857295654774,1,-0.015476613580219345,0.0,0.0,-0.015476613580219345,1.0003247482736377,1.269259224424588
